INDIC,TAMIL
அகங்காரம்,"இறுமாப்பு,யானெனல்,முனைப்பு,செருக்கு"
அகசுமாத்து,"தற்செயல்,திடீரெனல்"
அகஸ்மாத்து,"தற்செயல்,திடீரெனல்"
அகதி,"வறியன்,ஏதிலி,யாருமற்றவன்"
அகந்தை,"இறுமாப்பு,செருக்கு"
அகம்பாவம்,"தற்பெருமை,செருக்கு"
அகராதி,"அகரநிரல்,அகரமுதலி,அகரவரிசை"
அகற்பிதம்,இயல்பு
அகாதன்,புரட்டன்
அகாலமரணம்,முதிராச்சாவு
அகாலம்,தகாக் காலம்
அகிம்சை,"கொல்லாமை,வன்முறையின்மை,மென்முறை,ஊறு செய்யாமை,இன்னா செய்யாமை"
அகிலம்,"வையம்,எல்லாம்,உலகு,நிலம்"
அகோசரம்,அறியொணாதது
அகோரம்,"சினக்குறிப்பு,நடுக்கம்"
அகோராத்திரம்,அல்லும் பகலும்
அக்காரம்,வெல்லம்
அக்கி,"கண்,கொப்புளம்"
அக்கிரகாரம்,"பார்ப்பனச்சேரி,பார்ப்பனர்கள் வசிக்கும் இடம்"
அக்கிரமம்,"ஒழுங்கின்மை,முறைகேடு"
அக்கிராசனம்,"தலைமை,முதலிருக்கை"
அக்கிராசனாதிபதி,"அவைத் தலைவர்,முதல்வர்"
அக்கினி,"தழல்,எரி,நெருப்பு,தீ,அனல் எரி,அனல்"
அக்கினிகாரியம்,எரியோம்பல்
அக்கினி நட்சத்திரம்,தீ நாள்
அங்க சேட்டை,உறுப்பு அசைவு
அங்கம்,"உடல்உறுப்பு,எலும்பு,அடையாளம்,உறுப்பு"
அங்கவீனன்,"உறுப்பறையன்,உடற் கேடன்"
அங்கீகரணம்,"உடன்பாடு,ஒப்பு"
அங்கீகாரம்,"ஒப்புதல்,உடன்பாடு,ஒப்பு,ஏற்பு"
அங்குசம்,"கொக்கி,யானைத் தோட்டி"
அங்குட்டம்,பெருவிரல்
அங்குலம்,"விரற்கடை,விரலளவு"
அசந்தர்ப்பம்,"நேரமின்மை,காலந்தவறு"
அசமந்தம்,"சோம்பல்,மடி,மலைவு"
அசரீரி,"வானொலி,வானிழல்; உடலற்ற பொருள்;,உருவற்றது"
அசம்,ஆடு
அசல்,"மூலம்,முதல்"
அசாக்கிரதை,"விழிப்பின்மை,கருத்தின்மை,அசட்டை"
அசாத்தியம்,"அருமை,முடிக்கக் கூடாதது"
அசீரணம்,"செரியாமை,பசியின்மை,அழிவுபடாமை"
அசுத்தம்,"அழுக்கு,துப்புரவின்மை,தூய்மையின்மை"
அசுபம்,"தீயது,நன்மையல்லாதது,தீமை"
அசுவம்,குதிரை
அஞ்சனம்,"மை,இருள்,கறுப்பு"
அஞ்ஞாதம்,"மறைவு,மறைவு அறியப்படாதது"
அஞ்ஞாதவாசம்,மறைந்துறைதல்
அஞ்ஞானம்,"அறியாமை,இருள்,மருள்"
அட்சரம்,எழுத்து
அட்டகம்,எண்வகை
அட்டகாசம்,புரளி
அணிமா,அணுத்தன்மை
அதிகம்,மிகுதி
அதிகாந்தம்,பேரழகு
அதிகாரம்,"நூற்கூறுபாடு,ஆட்சி,இயல்"
அதிகாரி,"தலைவன்,உயர் அலுவலர்,முதல்வன்"
அதிசயம்,"புதுமை,வியப்பு"
அதிட்டம்,"நல்வினைப் பயன்,செல்வம்,நன்னுகர்ச்சி"
அதிதி,"விருந்தினன்,புதியவன்"
அதோகதி,"பள்ளம்,கீழிறக்கம்"
அத்தமனம்,"அடைவு,மறைவு,சாய்ங்காலம்,மாலை"
அஸ்தமனம்,"அடைவு,மறைவு,சாய்ங்காலம்,மாலை"
அத்தம்,கை
அஸ்தம்,கை
அத்தி,எலும்பு
அஸ்தி,"உடல்,இருத்தல்,எலும்பு"
அத்திபாரம்,"அடிப்படை,கடைக்கால்"
அஸ்திபாரம்,"அடிப்படை,கடைக்கால்"
அத்தியட்சன்,"தலைவன்,கண்காணி"
அத்தியந்தம்,"மட்டற்றது,மிகுதி"
அத்தியாயம்,"படலம்,நூற்பிரிவு"
அத்திரம்,அம்பு
அஸ்திரம்,அம்பு
அத்துவிதம்,இரண்டற்றது
அநந்தம்,"அளவில்லாதது,அளவின்மை,முடிவிலி,முடிவில்லது,முதலில்லாது,அளவற்றது"
அநர்த்தம்,"அழிவு,வேறுபாடு,கேடு,பயனின்மை"
அநவரதம்,எப்பொழுதும்
அநாகதம்,நெஞ்சம்
அநாதி,"தொடக்கமிலி,தொடக்கமின்மை,முன்,கடவுள்,பழமை"
அநாதை,"யாருமிலி,துணையிலி,யாருமற்றவன்"
அநியாயம்,"முறையின்மை,விலக்கு,நடுவின்மை,முறைகேடு"
அநிருதம்,பொய்
அநீதி,"முறையற்றது,முறைகேடு,நடுவின்மை"
அநுகூலம்,"பயன்,உதவி,சார்பு,கைகூடுதல்,நன்மை,துணை"
அநுக்கிரகம்,"அருள்,அருளிரக்கம்"
அநுசரித்தல்,"பின்பற்றல்,கைக்கொள்ளல்"
அநுட்டானம்,"செயற்பாடு,நடைமுறை"
அநுட்டித்தல்,"கடைப்பிடித்தல்,பின்பற்றல்,கைக்கொள்ளல்"
அநுதினம்,"நாடோறும்,நாள் தோறும்"
அநுபந்தம்,"தொடர்ச்சி,அடுத்து யாக்கப்படுவது,பின்சேர்க்கை"
அநுபவம்,"பழக்கம்,அழுந்தியறிதல்,நுகர்ச்சி"
அநுபவித்தல்,"துய்த்தல்,நுகர்தல்,துவ்வல்"
அநுபானம்,"கூட்டு மருந்து,துணை மருந்து"
அநுபோகம்,"பழக்கம்,வழக்கம்,ஆட்சி,நுகர்ச்சி,துய்ப்பு"
அநுமதி,"ஆணை,விடை,கட்டளை,ஒப்புதல்,உடன்பாடு"
அநுமானம்,"வழியளவை,ஐயம்"
அநேகம்,"பெரும்பான்மை,பல"
அந்தகன்,"குருடன்,கூற்றுவன்"
அந்தஸ்து,"ஒழுங்கு,நிலை,நிலைமை"
அந்தம்,"குருடு,முடிவு,அழகு,ஈறு,எல்லை,கேடு"
