INDIC,TAMIL
அகங்காரம்,"இறுமாப்பு,முனைப்பு,செருக்கு,யானெனல்"
அகசுமாத்து,"திடீரெனல்,தற்செயல்"
அகஸ்மாத்து,"திடீரெனல்,தற்செயல்"
அகதி,"ஏதிலி,யாருமற்றவன்,வறியன்"
அகந்தை,"இறுமாப்பு,செருக்கு"
அகம்பாவம்,"தற்பெருமை,செருக்கு"
அகராதி,அகரவரிசை
அகற்பிதம்,இயல்பு
அகாதன்,புரட்டன்
அகாலமரணம்,முதிராச்சாவு
அகாலம்,தகாக் காலம்
அகிம்சை,"வன்முறையின்மை,மென்முறை,கொல்லாமை,இன்னா செய்யாமை"
அகிலம்,"எல்லாம்,உலகு,வையம்,நிலம்"
அகோசரம்,அறியொணாதது
அகோரம்,"சினக்குறிப்பு,நடுக்கம்"
அகோராத்திரம்,அல்லும் பகலும்
அக்காரம்,வெல்லம்
அக்கி,"கொப்புளம்,கண்"
அக்கிரகாரம்,பார்ப்பனச்சேரி
அக்கிரமம்,"முறைகேடு,ஒழுங்கின்மை"
அக்கிராசனம்,"தலைமை,முதலிருக்கை"
அக்கிராசனாதிபதி,"அவைத் தலைவர்,முதல்வர்"
அக்கினி,"எரி,தழல்,நெருப்பு,தீ,அனல்"
அக்கினிகாரியம்,எரியோம்பல்
அக்கினி நட்சத்திரம்,தீ நாள்
அங்க சேட்டை,உறுப்பு அசைவு
அங்கம்,"உறுப்பு,எலும்பு,அடையாளம்"
அங்கவீனன்,"உடற் கேடன்,உறுப்பறையன்"
அங்கீகரணம்,"ஒப்பு,உடன்பாடு"
அங்கீகாரம்,"ஏற்பு,ஒப்பு,உடன்பாடு"
அங்குசம்,"யானைத் தோட்டி,கொக்கி"
அங்குட்டம்,பெருவிரல்
அங்குலம்,"விரலளவு,விரற்கடை"
அசந்தர்ப்பம்,"நேரமின்மை,காலந்தவறு"
அசமந்தம்,"சோம்பல்,மடி,மலைவு"
அசரீரி,"உருவற்றது,வானிழல்; உடலற்ற பொருள்;,வானொலி"
அசம்,ஆடு
அசல்,"முதல்,மூலம்"
அசாக்கிரதை,"கருத்தின்மை,விழிப்பின்மை,அசட்டை"
அசாத்தியம்,"அருமை,முடிக்கக் கூடாதது"
அசீரணம்,"பசியின்மை,செரியாமை"
அசுத்தம்,"அழுக்கு,தூய்மையின்மை,துப்புரவின்மை"
அசுபம்,"தீயது,நன்மையல்லாதது,தீமை"
அசுவம்,குதிரை
அஞ்சனம்,"மை,கறுப்பு"
அஞ்ஞாதம்,மறைவு
அஞ்ஞாதவாசம்,மறைந்துறைதல்
அஞ்ஞானம்,"மருள்,அறியாமை,இருள்"
அட்சரம்,எழுத்து
அட்டகம்,எண்வகை
அட்டகாசம்,புரளி
அணிமா,அணுத்தன்மை
அதிகம்,மிகுதி
அதிகாந்தம்,பேரழகு
அதிகாரம்,"நூற்கூறுபாடு,இயல்,ஆட்சி"
அதிகாரி,"தலைவன்,முதல்வன்"
அதிசயம்,"புதுமை,வியப்பு"
அதிட்டம்,"நன்னுகர்ச்சி,செல்வம்,நல்வினைப் பயன்"
அதிதி,"புதியவன்,விருந்தினன்"
அதோகதி,"கீழிறக்கம்,பள்ளம்"
அத்தமனம்,"மறைவு,அடைவு,சாய்ங்காலம்,மாலை"
அஸ்தமனம்,"மறைவு,அடைவு,சாய்ங்காலம்,மாலை"
அத்தம்,கை
அஸ்தம்,கை
அத்தி,எலும்பு
அஸ்தி,"உடல்,எலும்பு,இருத்தல்"
அத்திபாரம்,"கடைக்கால்,அடிப்படை"
அஸ்திபாரம்,"கடைக்கால்,அடிப்படை"
அத்தியட்சன்,"தலைவன்,கண்காணி"
அத்தியந்தம்,"மிகுதி,மட்டற்றது"
அத்தியாயம்,"படலம்,நூற்பிரிவு"
அத்திரம்,அம்பு
அஸ்திரம்,அம்பு
அத்துவிதம்,இரண்டற்றது
அநந்தம்,"முடிவில்லது,அளவின்மை"
அநர்த்தம்,"வேறுபாடு,கேடு,பயனின்மை"
அநவரதம்,எப்பொழுதும்
அநாகதம்,நெஞ்சம்
அநாதி,"முன்,கடவுள்,பழமை"
அநாதை,யாருமற்றவன்
அநியாயம்,"விலக்கு,நடுவின்மை,முறையின்மை"
அநிருதம்,பொய்
அநீதி,முறைகேடு
அநுகூலம்,"கைகூடுதல்,உதவி,துணை,பயன்,நன்மை"
அநுக்கிரகம்,"அருளிரக்கம்,அருள்"
அநுசரித்தல்,"பின்பற்றல்,கைக்கொள்ளல்"
அநுட்டானம்,"நடைமுறை,செயற்பாடு"
அநுட்டித்தல்,பின்பற்றல்
அநுதினம்,நாடோறும்
அநுபந்தம்,"தொடர்ச்சி,அடுத்து யாக்கப்படுவது,பின்சேர்க்கை"
அநுபவம்,"பழக்கம்,நுகர்ச்சி,அழுந்தியறிதல்"
அநுபவித்தல்,"துய்த்தல்,துவ்வல்,நுகர்தல்"
அநுபானம்,"கூட்டு மருந்து,துணை மருந்து"
அநுபோகம்,"ஆட்சி,பழக்கம்,நுகர்ச்சி,வழக்கம்,துய்ப்பு"
அநுமதி,"ஆணை,உடன்பாடு,விடை,கட்டளை,ஒப்புதல்"
அநுமானம்,"வழியளவை,ஐயம்"
அநேகம்,"பெரும்பான்மை,பல"
அந்தகன்,"குருடன்,கூற்றுவன்"
அந்தஸ்து,"நிலை,நிலைமை,ஒழுங்கு"
அந்தம்,"அழகு,குருடு,முடிவு,எல்லை,கேடு,ஈறு"
அந்தரங்கம்,"தனிமை,தனிப்பட்ட,அருமறை,உள்ளம்,மறைபொருள்"
அந்தரம்,"இடைவெளி,காலம்,வான்,துணையின்மை,வெளி"
அந்தரவாணி,வானொலி
அந்நியம்,"பிறிது,வேறு,வேற்றுமை,அயல்"
அந்நியோந்நியம்,"ஒருவர்க்கொருவர்,நெருக்கம்,ஒற்றுமை"
அபகரித்தல்,"பறித்தல்,கொள்ளையிடல்,கவர்தல்,வவ்வல்"
அபகாரம்,"பொல்லாங்கு,தீங்கு,நன்றியில் செயல்"
அபசயம்,தோல்வி
அபத்தம்,"பொய்,தவறு"
அபயம்,அடைக்கலம்
அபரஞானம்,"கருவியறிவு,நூலறிவு"
அபராதம்,"பிழை,ஒறுப்புக்கட்டணம்,குற்றம்,தண்டம்"
அபவிருத்தி,குறைவு
அபாண்டம்,"பெரும்பழி,பெரும்பொய்,இடுபழி"
அபாயம்,"பேரிடர்,அழிவு,கேடு,இடுக்கண்,துன்பம்"
அபாயகரம்,"பேரிடர்,அழிவு,கேடு,இடுக்கண்,துன்பம்"
அபானவாயு,மலக்காற்று
அபிடேகம்,"திருமுழுக்கு,புதுப்புனலாட்டு"
அபிஷேகம்,"திருமுழுக்கு,திருமஞ்சனம்,புதுப்புனலாட்டு"
அபிநயம்,"உள்ளக்குறிகாட்டல்,கைமெய்காட்டல்,கூத்து"
அபிப்பிராயம்,"உட்கருத்து,நோக்கம்,உட்கோள்,கொள்கை,எண்ணம்,உள்ளப்போக்கு"
அபிமானம்,"பற்று,செருக்கு,நேயம்"
அபிவிருத்தி,"வளர்ச்சி,ஆக்கம்,பெருக்கம்"
அபூர்வம்,"அரிய,அருமை,அரிய பொருள்,அரிது"
அபேட்சை,"அவா,விருப்பம்"
அபேதம்,"வேற்றுமையின்மை,வேறன்மை"
அப்பியாசம்,"பழக்கம்,பயிற்சி"
அப்பிராணி,"ஏழை,கரவிலான்,பேதை"
அப்பு,புனல்
அமரபக்ஷம்,தேய்பிறை
அமாவாசை,"இல்மதி,புதுப்பிறை,பிறையுவா"
அமுது,"அடிசில்,சோறு,இனிமை"
அம்சம்,"எண்,காலம்,பங்கு,அன்னப்புள்,வகை,இயல்பு"
அம்பாரம்,குவியல்
அம்பிகை,"தாய்,அம்மை"
அயச்செந்தூரம்,இரும்புச் செந்தூள்
அயபஸ்பம்,இரும்புவெண்ணீறு
அயோக்கிதை,"தகாதது,தகுதியின்மை"
அரம்பை,"தெய்வப் பெண்,அரிவை,வான்மகள்"
ரம்பை,"தெய்வப் பெண்,அரிவை,வான்மகள்"
அரவம்,"பாம்பு,ஒலி"
அராகம்,விருப்பு
அருணோதயம்,"கதிரோன் வருகை,விடியல்,வைகறை"
அருத்தம்,"பொருள்,பாதி"
அர்த்தம்,"பொருள்,பாதி"
அருவம்,"அழகின்மை,உருவின்மை"
அர்ச்சனை,"பூசை,பூ வழிபாடு,மலர் தூவழிபாடு"
அருச்சனை,"பூசை,பூ வழிபாடு,மலர் தூவழிபாடு"
அர்த்தசாமம்,நள்ளிரவு
அர்த்தநாரீசுரன்,"மாதிருக்கும் பாதியன்,மங்கை பங்கன்"
அர்ப்பணம்,"நீரொடு கொடுத்தல்,ஒப்புவித்தல்,உரிமைப்படுத்தல்"
அலங்காரம்,"அழகு,அணி,புனைவு,ஒப்பனை"
அலட்சியம்,"பொருட்படுத்தாமை,கருத்தின்மை"
அலுவா,கோதுமைத் தேம்பாகு
அவகாசம்,"ஓய்வு,ஒழிவு"
அவசரம்,"சுருக்கு,பரபரப்பு,பதைப்பு,விரைவு"
அவசியம்,"கட்டாயம்,இன்றியமையாமை,தேவை,முதன்மை"
அவதாரம்,"இறங்குகை,பிறப்பு"
அவதி,துன்பம்
அவத்தை,"நிலை,நிலைமை,துன்பம்"
அவதூறு,பழிச்சொல்
அவமானம்,"மானக்கேடு,இழிவு,புகழின்மை"
அவயவம்,உறுப்பு
அற்பம்,"அணு,புன்மை,சிறுமை"
அற்புதம்,"அரிய செயல்,அருள் நிகழ்ச்சி,புதுமை,வியப்பு"
அனுபவம்,"பட்டறிவு,துய்ப்பு"
அனுபோகம்,நுகர்ச்சி
அன்னசத்திரம்,ஊட்டுப்புரை
ஆகாசம்,"வான்,வெளி,வான்வெளி,விண்,வானம்,விசும்பு"
ஆகாயவிமானம்,வானவூர்தி
ஆகாரம்,"உணவு,அடிசில்"
ஆகுலம்,"வருத்தம்,ஆரவாரம்"
ஆக்ஞேயம்,புருவநடு
