INDIC,TAMIL
யதார்த்தம்,உண்மை
சிநேகிதம்,நட்பு
பட்சணம்,தின்பண்டம்
சாதனம்,இடம்
சந்து,இயங்கும் உயிர்
சிங்கம்,அரிமா
சாரூபம்,சிவனுருவம்
மோட்சம்,வீடு
வீதம்,விழுக்காடு
குக்குடம்,கோழி
ஆதி,தொடக்கம்
கண்டம்,கட்டி
எவ்வநம்,அழகு
சம்பாதித்தல்,தொகுத்தல்
சங்கடம்,வருத்தம்
கோதண்டம்,வில்
உற்சாகம்,மகிழ்ச்சி
சிரார்த்தம்,இறந்தநாட்கடன்
கர்ப்பகிரஹம்,கருவறை
வதுவை,மணம்
சக்தி,வல்லமை
யுத்தி,சூழ்ச்சி
ஜமீன்தார்,நிலக்கிழார்
சஞ்சலம்,துன்பம்
புஜபலம்,தோள்வலி
தலம்,இடம்
மூலதனம்,விடுமுதல்
கிருஷ்ணபக்ஷம்,தேய்பிறை
அகம்பாவம்,செருக்கு
ஓமம்,வேள்வி
ஆஸ்பத்திரி,மருத்துச்சாலை
புஷ்டி,பருமன்
வெகுமானம்,கொடை
வைடூரியம்,ஒளிமணி
மீனாட்சி,கயற்கண்ணி
சாமர்த்தியம்,திறமை
சங்கற்பம்,நினைப்பளவு
அந்நியம்,அயல்
அபவிருத்தி,குறைவு
மரணபரியந்தம்,இறக்குமளவும்
விவேகம்,பகுத்தறிவு
இரகசியம்,கமுக்கம்
நிரஞ்சனா,அமலை
பத்தர்,அன்பர்
மத்திபம்,நடுநிலை
அநுசரித்தல்,பின்பற்றல்
புட்பம்,பூ
வாதனை,துன்பம்
சுயம்வரம்,தான் விரும்பும் மணம்
வித்தியாசம்,வேறுபாடு
விபரீதம்,கேடு
ஆகுலம்,வருத்தம்
அசுபம்,தீமை
சபா,அவை
அத்திபாரம்,அடிப்படை
விக்கிரமம்,உருவம்
வசந்தம்,தென்றற்காற்று
தகநம்,சுடுதல்
கீர்த்தி,இசை
அங்கீகாரம்,ஒப்பு
