INDIC,TAMIL
அஸ்தமனம்,மறைவு
கஷ்டம்,கடினம்
கஷ்டம்,துன்பம்
சந்தோஷம்,மகிழ்ச்சி
தஸ்தாவேஜ்,ஆவணம்
சங்கோஜம்,கூச்சம்
விஷம்,நஞ்சு
அவஸ்தை,அவதி
அராஜகம்,கொடுமை
அபிஷேகம்,திருமஞ்சனம்
இஷ்டம்,விருப்பம்
உஷ்ணம்,வெப்பம்
சீதோஷ்ணம்,தட்பவெப்பம்
எஜமான்,முதலாளி
ஒஸ்தி,உயர்வு
கஜானா,கருவூலம்
குஸ்தி,மற்போர்
சகஜம்,வழக்கம்
சம்பாஷணை,உரையாடல்
சிருஷ்டி,ஆக்கம்
சுபிக்ஷம்,செழிப்பு
சுபிட்சம்,செழிப்பு
ராஜாங்கம்,அரசு
சுதந்திரம்,விடுதலை
சுதந்திரம்,உரிமை
சேஷ்டை,குறும்பு
தோஷம்,குறை
பரஸ்பரம்,இருவழி
பாஷை,மொழி
பிரஜை,குடிமகன்
பிரயோஜனம்,பயன்
பிரத்யக்ஷம்,கண்கூடு
பிரத்யட்சம்,கண்கூடு
புஷ்பம்,பூ
பூஜை,பூசை
நட்சத்திரம்,விண்மீன்
நக்ஷத்திரம்,விண்மீன்
நஷ்டம்,இழப்பு
நமஸ்காரம்,வணக்கம்
ஶ்ரீ,திரு
விஷயம்,சேதி
புஸ்தகம்,நூல்
செளக்கியம்,நலம்
ஜன்னல்,சாளரம்
லக்ஷ்மி,திருமகள்
ஜம்பம்,அலட்டல்
கிருஹப் பிரவேசம்,புதுமனை புகுவிழா
ஜங்க்ஷன்,சந்திப்பு
சங்கமம்,கூடல்
ஹாஸ்யம்,நகைச்சுவை
நிரந்தரம்,நிலையான
ஸ்வாமி,தெய்வம்
ஸ்வாமி,ஆண்டான்
புஷ்கரிணி,திருக்குளம்
உபயோகம்,பயன்பாடு
ஜலம்,நீர்
ஜலம்,தண்ணீர்
ஸ்நானம்,குளியல்
ஸ்நேகிதம்,நட்பு
லஜ்ஜை,வெட்கம்
ஜாக்கிரதை,கவனம்
அஜாக்கிரதை,கவனக்குறைவு
வருஷம்,ஆண்டு
பிரச்சனை,சிக்கல்
க்ஷேமம்,நலம்
கிரகம்,கோள்
சகோதரன்,உடன் பிறப்பு
ஜீரணம்,செரிமானம்
சாஸ்திரம்,விதிமுறை
அர்த்தம்,பொருள்
விசேஷம்,சிறப்பு
சமஸ்கிருதம்,செங்கிருதம்
சமஸ்கிருதம்,வடமொழி
ஸ்கந்தன்,கந்தன்
ஸூப்ரமணியன்,சேயோன்
ஸூப்ரமணியன்,முருகன்
ஸ்த்ரீ,பெண்
ஸ்தோத்திரம்,போற்றி
ஸ்தாபனம்,நிறுவனம்
புருஷன்,ஆண்
புருஷன்,கணவன்
ஜெயம்,வெற்றி
ஜோதி,சுடர்
ஜோதிடம்,நிமித்திகம்
ஜோதிடம்,திருக்கணிதம்
ஜோஸ்யர்,நிமித்திகர்
ஜனநாயகம்,மக்களாட்சி
ஜமக்காளம்,போர்வை
ஜமக்காளம்,விரிப்பு
ஜல்லிக்கட்டு,சல்லிக்கட்டு
ஜல்லிக்கட்டு,ஏறு தழுவல்
ஜல்லிக்கட்டு,மஞ்சு விரட்டு
ஜாக்கிரதை,கவனம்
ஜாக்கிரதை,எச்சரிக்கை
ஜவுளி,துணி
ஜவுளி,ஆடை
ஜபம்,வழிபாடு
ஜால்ரா,தாளம்
ஜென்மம்,பிறவி
ஜீவராசி,உயிர்
ஜீவராசி,உயிரினம்
ஜொள்ளு,எச்சில்
ஜோடி,இணை
ஜோடி,இரட்டை
ஜீவ காருண்யம்,உயிர்க்கு இரங்கல்
ஜோலி,வேலை
ஜாடி,குடுவை
பூகம்பம்,நிலநடுக்கம்
ஜூரம்,காய்ச்சல்
ஜனம்,மக்கள்
ஜனனம்,பிறப்பு
ஜாதகம்,நிமித்திகத் தாள்
ஜாதகம்,திருக்கணி இதழ்
அஸ்திவாரம்,கடைக்கால்
