INDIC,TAMIL
அக்கணம்,அப்பொழுது
அக்கிரகாரம்,"பார்ப்பனச்சேரி, பார்ப்பனர்கள் வசிக்கும் இடம்"
அக்கிரமம்,"ஒழுங்கின்மை, முறைகேடு"
"அக்னி,அக்கினி அக்நி","நெருப்பு, தீ, அனல் எரி"
அகங்காரம்,"செருக்கு, இறுமாப்பு, முனைப்பு, யானெனல்"
அகடவிகடம்,"வேறுபட்டது, குறும்பு மாற்று"
அகந்தை,"இறுமாப்பு, செருக்கு"
அகம்பாவம்,"தற்பெருமை, செருக்கு"
அகராதி,"அகரமுதலி, அகரவரிசை, அகரநிரல்"
அகிம்சை,"இன்னா செய்யாமை, ஊறு செய்யாமை"
அங்கம்,உடல்உறுப்பு
அங்கீகாரம்,ஒப்புதல்
அங்கத்தினர்,உறுப்பினர்
அசத்தை,பொய்
அசுத்தம்,"அழுக்கு, துப்புரவின்மை, தூய்மையின்மை"
அசிரீரி,"உருவமற்றது, வானொலி"
அசீரணம்,"அழிவுபடாமை, பசியின்மை, செரியாமை"
அஞ்சலி,"கும்பிடல், வணக்கம் செய்தல்"
அஞ்சனம்,"மை, கறுப்பு, இருள்"
அஞ்ஞாதம்,மறைவு அறியப்படாதது
அண்டம்,"முட்டை, உலகம், வித்து மூலம்"
அதிகாரி,உயர் அலுவலர்
அதீதம்,மிகை
அப்பியாசம்,"பயிற்சி, பழக்கம்"
அபயம்,அடைக்கலம்
அபகரித்தல்,"பறித்தல், கவர்தல்"
அபத்தம்,"பொய், பொம்மை"
அபிவிருத்தி,பெருவளர்ச்சி
அபிஷேகம்,திருமுழுக்கு
அபிப்பிராயம்,உட்கருத்து
அபூர்வம்,அருமை
அனுக்கிரகம்,அருள் செய்தல்
அனுபந்தம்,பிற்சேர்க்கை
அனுபவம்,"பட்டறிப்பு, நுகர்வு"
அவகாசம்,ஓய்வு
அவசரம்,விரைவு
அவசியம்,தேவை
அவயவம்,உறுப்பு
அலாதி,தனி
அந்தியம்,"முடிவு, சாவு"
அந்தியக்கிரியை,"ஈமவினை, இறுதிக்கடன்"
அந்திய காலம்,"முடிவுக்காலம், இறுதிக்காலம்"
அந்நியர்,"பிறர், வேறுபட்டவர், வேற்று நாட்டினர்"
அந்தரங்கம்,மறைவடக்கம்
அந்தரம்,பரபரப்பு
அந்தி,மாலை
அந்தஸ்து,நிலை
அந்நியம்,"வேறுபாடு, வேற்றுமை,"
அநர்த்தம்,"அழிவு, கேடு"
அநந்தம்,"முதலில்லாது, அளவில்லாதது, முடிவிலி, அளவற்றது"
அநாதி,"தொடக்கமிலி, தொடக்கமின்மை"
அநாதை,"துணையிலி, யாருமிலி"
அநியாயம்,"முறையின்மை, முறைகேடு"
அநீதி,"முறையற்றது, நடுவின்மை, முறைகேடு"
அநுகூலம்,சார்பு
அநுட்டித்தல்,"கைக்கொள்ளல், கடைப்பிடித்தல்"
அநுஷ்டித்தல்,"கைக்கொள்ளல், கடைப்பிடித்தல்"
அநுதாபம்,"இரக்கம், அருளல், இரங்கல்"
அநுதினம்,நாள் தோறும்
"அரசன்,ராஜா","மன்னன்,வேந்தன்,கோன்"
ஆகாயம்,வானம்
ஆசை,விருப்பம்
ஆபத்து,"துன்பம், இடர்"
ஆராதனை,வழிபாடு
ஆன்மா,உயிர்
ஆஜர்,வருகை
இஸ்திரிப் பெட்டி,துணி மடிப்புக் கருவி
இனாம்,நன்கொடை
இலக்கம்,எண்
உபத்திரவம்,வேதனை
உற்சவம்,திருவிழா
ஐக்கியம்,ஒற்றுமை
கல்யாணம்,திருமணம்
கடிதம்,மடல்
கரம்,கை
கதிரை,"நாற்காலி, அணை, இருக்கை"
கஷ்டம்,தொல்லை
கட்டில்,மஞ்சம்
கடிகாரம்,"கன்னல்,மணிக்கூடு"
கறார் விலை,ஒரே விலை
கஜானா,கருவூலம்
கம்மி,குறைவு
காலி,நிரப்பப்படாமல் உள்ள நிலை
காலிப்பயல்,போக்கிரி
காருண்யம்,பரிவு
காரியம்,செயல்
காரியாலயம்,செயலகம்.
காரியதரிசி,"செயலர், செயலாளர்"
கிஸ்தி,வரி
கிரயம்,விலை
கிராமம்,சிற்றூர்
"கீதம், கானம், கானா","பாட்டு,பாடல்"
கும்பாபிஷேகம்,குடமுழுக்கு
குதூகலம்,எக்களிப்பு
கைதி,சிறையாளி
கோஷ்டி,குழாம்
கோத்திரம்,குடி
கோப்பை,கிண்ணம்
சகஜம்,வழக்கம்
சக்தி,"ஆற்றல், வலு"
சக்கரவர்த்தி,பேரரசன்
சச்சிதானந்தம்,மெய்யறிவின்பம்
சட்டை,"அங்கராத்து,மேலாடை,மெய்ப்பை"
சதவீதம்,"நூற்றுக்கூறு,விழுக்காடு"
சபதம்,சூள்
சர்க்கார்,அரசாங்கம்
சரணம்,அடைக்கலம்
சரணாகதி,அடைக்கலம்
சனி (கிழமைகளில்),காரி
சங்கீதம்,இசை
சத்தியாக்கிரகம்,அறப்போராட்டம்
சந்தா,கட்டணம்
சந்தேகம்,ஐயம்
சந்தோஷம்,மகிழ்ச்சி
சந்ததி,வழித்தோன்றல்
சந்தர்ப்பம்,வாய்ப்பு
சந்தியாவந்தனம்,வேளை வழிபாடு
சம்பளம்,"கூலி, ஊழியம்"
சம்பிரதாயம்,தொன்மரபு
சமீபம்,அண்மை
சவால்,அறைகூவல்
சாஸ்திரம்,கலை
சாபம்,கெடுமொழி
சாதாரண,எளிதான
சாட்சி,சான்று
சாமான்,பண்டம்
சிகிச்சை,மருத்துவமுறை
சிங்காசனம்,அரியணை
சிப்பந்தி,வேலையாள்
சிபாரிசு,பரிந்துரை
சிரம்,"தலை, சென்னி"
சிநேகம்,நட்பு
சீதனம்,மணக்கொடை
சீதோஷ்ணம்,தட்பவெப்பம்
சுகம்,இன்பம்
சுத்தம்,தூய்மை
சுதந்திரம்,விடுதலை
சுபாவம்,இயல்பு
சுமார்,ஏறக்குறைய
சுயம்,தன்
சுயதொழில்,தன்தொழில்
சுயராஜ்யம்,தன்னாட்சி
செருப்பு,பாதணி
சேவை,"தொண்டு,பணி"
சேஷ்டை,குறும்பு
சௌகரியம்,வசதி
"நமஸ்காரம்,சலாம்",வணக்கம்
நஷ்டம்,இழப்பு
நிபுணர்,வல்லுநர்
நிமிஷம்,மணித்துளி
நியாயஸ்தலம்,வழக்கு மன்றம்
நீதி,நடுநிலை நன்னெறி
நேரம்,"ஓரை,நாழி"
தசம்,புள்ளி
தற்காலிக வேலை,நிலையிலா வேலை
தஸ்தாவேஜூ,ஆவணம்
தாகம்,வேட்கை
திருப்தி,"உள நிறைவு, மன நிறைவு"
"தினம், நிதம்",நாள்
தேதி,நாள்
தேசம்,நாடு
துவக்கு,சுடுகலன்
பக்தன்,அடியான்
பகிரங்கம்,வெளிப்படை
பசங்கள்,பிள்ளைகள்
பத்தினி,கற்பணங்கு
பத்திரிக்கை,"இதழ், செய்தித்தாள்"
பரஸ்பர ஒத்துழைப்பு,சமதரப்பு ஒத்துழைப்பு
பரிகாசம்,நகையாடல்
பரீட்சை,தேர்வு
பந்துக்கள்,உறவினர்கள்
பந்தோபஸ்து,பாதுகாப்பு
"பவுண், பவுன்","பொன், தங்கம்"
பஜனை,கூட்டுப்பாடல் வழிபாடு
பாக்கியம்,பேறு
பாரம்,சுமை
பாண்,வெதுப்பி
பாஷை,மொழி
பிரகாரம்,திருச்சுற்று
பிரச்சாரம்,"பரப்புவேலை, பரப்புரை"
பிரச்சினை,சிக்கல்
பிரசாதம்,திருப்பொருள்
(அங்கப்) பிரதட்சனம்,வலம் வருதல்
பிரார்த்தனை,நேர்த்திக்கடன்
புதன் (கிழமைகளில்),அறிவன்
புத்தகம்,நூல் (பொத்தகம் தமிழ் என்போரும் உண்டு)
புருஷன்,கணவன்
"பூச்சியம்,சைபர்",சுழியம்
பூர்வம்,முந்திய
பூஜை,பூசெய் (பூசை)
போஜனம்,"ஊண்,உணவு,சாப்பாடு"
மந்திரி,அமைச்சன்
மந்திரம்,மறைமொழி
மரணம்,"சாவு, இறப்பு"
மாமிசம்,இறைச்சி
மார்க்கம்,"நெறி, வழி"
மிருகம்,விலங்கு
