INDIC,TAMIL
அபுர்வம்,அறிது
கோஷம்,முழக்கம்
துரதிருஷ்டம்,"அபாக்கியம், பேறின்மை"
துர்க்கை,"கொற்றவை, காளி"
யாத்திரை,பயணம்
வாஞ்சை,"ஆசை, பற்று, அன்பு"
ஸ்தலம்,இடம்
ஸ்தலபுரானம்,இடக்கதை
அகங்காரம்,செருக்கு
அக்கணம்,அப்பொழுது
அக்கிரமம்,முறைகேடு
அசலம்,"உறுப்பு, மலை"
அசூயை,பொறாமை
அதிபர்,தலைவர்
அதிருப்தி,மனக்குறை
அதிருஷ்டம்,"ஆகூழ், தற்போது"
அத்தியாவசியம்,இன்றியமையாதது
அநாவசியம்,வேண்டாதது
அநேகம்,பல
அந்தரங்கம்,மறைபொருள்
அபகரி,"பறி, கைப்பற்று"
அபாயம்,இடர்
அபிப்ராயம்,கருத்து
அபிஷேகம்,திருமுழுக்கு
அபூர்வம்,புதுமை
அமிசம்,கூறுபாடு
அயோக்கியன்,நேர்மையற்றவன்
அர்த்தநாரி,உமைபாகன்
அர்த்த புஷ்டியுள்ள,பொருள் செறிந்த
அர்த்தம்,பொருள்
அர்த்த ஜாமம்,நள்ளிரவு
அர்ப்பணம்,படையல்
அலங்காரம்,ஒப்பனை
அலட்சியம்,புறக்கணிப்பு
அவசரமாக,"உடனடியாக, விரைவாக"
அவஸ்தை,"நிலை, தொல்லை"
அற்பமான,"கீழான, சிறிய"
அனாதை,திக்கற்றவர்
அற்புதம்,புதுமை
அனுபவம்,பட்டறிவு
அனுமதி,இசைவு
அங்கம்,உடல்உறுப்பு
அங்கீகாரம்,ஒப்புதல்
அங்கத்தினர்,உறுப்பினர்
ஆச்சரியம்,வியப்பு
ஆச்சரியக்குறி,வியப்புக்குறி
ஆக்ஞை,"ஆணை, கட்டளை"
ஆட்சேபணை,"தடை, மறுப்பு"
ஆதி,முதல்
ஆபத்து,இடர்
ஆமோதித்தல்,வழிமொழிதல்
ஆயுதம்,கருவி
ஆரம்பம்,தொடக்கம்
ஆராதனை,வழிபாடு
ஆரோக்கியம்,உடல்நலம்
ஆலோசனை,அறிவுரை
ஆனந்தம்,மகிழ்ச்சி
இஷ்டம்,விருப்பம்
இங்கிதம்,இனிமை
இரகசியம்,"மறைபொருள், கமுக்கம்"
இரதம்,தேர்
இரத்தம்,"குருதி,உதிரம்"
இராகம்,பண்
இராத்திரி,"இரவு,அல்"
"இராச்சியம்,தேசம்",நாடு
இராணுவம்,படை
ஈன ஜன்மம்,இழிந்த பிறப்பு
ஈனஸ்வரம்,மெலிந்த ஓசை
உக்கிரமான,கடுமையான
உச்சரிப்பு,மொழியோசை
உபசாரம்,முகமன் கூறல்
உபயோகம்,பயன்
உதாசீனம்,பொருட்படுத்தாமை
உத்தரவாதம்,"பிணை, பொறுப்பு"
உத்தரவு,கட்டளை
உல்லாசம்,களிப்பு
உற்சாகம்,ஊக்கம்
ஐதீகம்,"சடங்கு, நம்பிக்கை"
ஔடதம்,மருந்து
கர்ப்பக்கிருகம்,கருவறை
கர்ப்பப்பை,கருப்பை
கர்மம்,செயல்
கலாச்சாரம்,பண்பாடு
கலாரசனை,கலைச்சுவை
கல்யாணம்,"மணவினை, திருமணம்"
கஷ்டம்,"தொல்லை, துன்பம்"
கடிதம்,மடல்
கரம்,கை
கதிரை,"நாற்காலி, அணை, இருக்கை"
கஷ்டம்,தொல்லை
கட்டில்,மஞ்சம்
கடிகாரம்,"கன்னல்,மணிக்கூடு"
கறார் விலை,ஒரே விலை
கஜானா,கருவூலம்
கீதம்,"பாட்டு, இசை"
கீர்த்தி,புகழ்
கீர்த்தனை,"பாமாலை, பாடல்"
கோஷம்,ஒலி
ஞாபகம் படுத்துதல்,நினைவூட்டல்
சகலம்,"எல்லாம், அனைத்தும்"
