INDIC,TAMIL
அகங்காரம்,செருக்கு
அகங்காரம்,இறுமாப்பு
அகங்காரம்,முனைப்பு
அகங்காரம்,யானெனல்
அகசுமாத்து,தற்செயல்
அகசுமாத்து,திடீரெனல்
அகஸ்மாத்து,தற்செயல்
அகஸ்மாத்து,திடீரெனல்
அகதி,வறியன்
அகதி,யாருமற்றவன்
அகந்தை,இறுமாப்பு
அகந்தை,செருக்கு
அகம்பாவம்,தற்பெருமை
அகம்பாவம்,செருக்கு
அகராதி,அகரவரிசை
அகற்பிதம்,இயல்பு
அகாதன்,புரட்டன்
அகாலமரணம்,முதிராச்சாவு
அகாலம்,தகாக் காலம்
அகிம்சை,இன்னா செய்யாமை
அகிம்சை,கொல்லாமை
அகிலம்,எல்லாம்
அகிலம்,உலகு
அகிலம்,வையம்
அகிலம்,நிலம்
அகோசரம்,அறியொணாதது
அகோரம்,சினக்குறிப்பு
அகோரம்,நடுக்கம்
அகோராத்திரம்,அல்லும் பகலும்
அக்காரம்,வெல்லம்
அக்கி,கண்
அக்கி,கொப்புளம்
அக்கிரகாரம்,பார்ப்பனச்சேரி
அக்கிரமம்,ஒழுங்கின்மை
அக்கிரமம்,முறைகேடு
அக்கிராசனம்,முதலிருக்கை
அக்கிராசனம்,தலைமை
அக்கிராசனாதிபதி,அவைத் தலைவர்
அக்கிராசனாதிபதி,முதல்வர்
அக்கினி,நெருப்பு
அக்கினி,தீ
அக்கினி,அனல்
அக்கினி,எரி
அக்கினி,தழல்
அக்கினிகாரியம்,எரியோம்பல்
அக்கினி நட்சத்திரம்,தீ நாள்
அங்க சேட்டை,உறுப்பு அசைவு
அங்கம்,உறுப்பு
அங்கம்,எலும்பு
அங்கம்,அடையாளம்
அங்கவீனன்,உடற் கேடன்
அங்கவீனன்,உறுப்பறையன்
அங்கீகரணம்,உடன்பாடு
அங்கீகரணம்,ஒப்பு
அங்கீகாரம்,உடன்பாடு
அங்கீகாரம்,ஒப்பு
அங்குசம்,யானைத் தோட்டி
அங்குசம்,கொக்கி
அங்குட்டம்,பெருவிரல்
அங்குலம்,விரற்கடை
அங்குலம்,விரலளவு
அசந்தர்ப்பம்,நேரமின்மை
அசந்தர்ப்பம்,காலந்தவறு
அசமந்தம்,சோம்பல்
அசமந்தம்,மடி
அசமந்தம்,மலைவு
அசரீரி,உருவற்றது
அசரீரி,வானொலி
அசம்,ஆடு
அசல்,முதல்
அசல்,மூலம்
அசாக்கிரதை,விழிப்பின்மை
அசாக்கிரதை,கருத்தின்மை
அசாக்கிரதை,அசட்டை
அசாத்தியம்,அருமை
அசாத்தியம்,முடிக்கக் கூடாதது
அசீரணம்,பசியின்மை
அசீரணம்,செரியாமை
அசுத்தம்,அழுக்கு
அசுத்தம்,துப்புரவின்மை
அசுத்தம்,தூய்மையின்மை
அசுபம்,நன்மையல்லாதது
அசுபம்,தீமை
அசுபம்,தீயது
அசுவம்,குதிரை
அஞ்சனம்,மை
அஞ்சனம்,கறுப்பு
அஞ்ஞாதம்,மறைவு
அஞ்ஞாதவாசம்,மறைந்துறைதல்
அஞ்ஞானம்,அறியாமை
அஞ்ஞானம்,இருள்
அஞ்ஞானம்,மருள்
அட்சரம்,எழுத்து
அட்டகம்,எண்வகை
அட்டகாசம்,புரளி
அணிமா,அணுத்தன்மை
அதிகம்,மிகுதி
அதிகாந்தம்,பேரழகு
அதிகாரம்,இயல்
அதிகாரம்,நூற்கூறுபாடு
அதிகாரம்,ஆட்சி
அதிகாரி,தலைவன்
அதிகாரி,முதல்வன்
அதிசயம்,புதுமை
அதிசயம்,வியப்பு
அதிட்டம்,செல்வம்
அதிட்டம்,நல்வினைப் பயன்
அதிட்டம்,நன்னுகர்ச்சி
அதிதி,விருந்தினன்
அதிதி,புதியவன்
அதோகதி,கீழிறக்கம்
அதோகதி,பள்ளம்
அத்தமனம்,சாய்ங்காலம்
அத்தமனம்,மாலை
அத்தமனம்,மறைவு
அத்தமனம்,அடைவு
அஸ்தமனம்,சாய்ங்காலம்
அஸ்தமனம்,மாலை
அஸ்தமனம்,மறைவு
அஸ்தமனம்,அடைவு
அத்தம்,கை
அஸ்தம்,கை
அத்தி,எலும்பு
அஸ்தி,எலும்பு
அத்திபாரம்,அடிப்படை
அத்திபாரம்,கடைக்கால்
அஸ்திபாரம்,அடிப்படை
அஸ்திபாரம்,கடைக்கால்
அத்தியட்சன்,தலைவன்
அத்தியட்சன்,கண்காணி
அத்தியந்தம்,மிகுதி
அத்தியந்தம்,மட்டற்றது
அத்தியாயம்,படலம்
அத்தியாயம்,நூற்பிரிவு
அத்திரம்,அம்பு
அஸ்திரம்,அம்பு
அத்துவிதம்,இரண்டற்றது
அநந்தம்,அளவின்மை
அநந்தம்,முடிவில்லது
அநர்த்தம்,பயனின்மை
அநர்த்தம்,கேடு
அநர்த்தம்,வேறுபாடு
அநவரதம்,எப்பொழுதும்
அநாகதம்,நெஞ்சம்
அநாதி,முன்
அநாதி,பழமை
அநாதி,கடவுள்
அநாதை,யாருமற்றவன்
அநியாயம்,முறையின்மை
அநியாயம்,நடுவின்மை
அநியாயம்,விலக்கு
அநிருதம்,பொய்
அநீதி,முறைகேடு
அநுகூலம்,கைகூடுதல்
அநுகூலம்,பயன்
அநுகூலம்,உதவி
அநுகூலம்,நன்மை
அநுகூலம்,துணை
அநுக்கிரகம்,அருளிரக்கம்
அநுக்கிரகம்,அருள்
அநுசரித்தல்,பின்பற்றல்
அநுசரித்தல்,கைக்கொள்ளல்
அநுட்டானம்,செயற்பாடு
அநுட்டானம்,நடைமுறை
அநுட்டித்தல்,பின்பற்றல்
அநுதினம்,நாடோறும்
அநுபந்தம்,பின்சேர்க்கை
அநுபந்தம்,தொடர்ச்சி
அநுபந்தம்,அடுத்து யாக்கப்படுவது
அநுபவம்,பழக்கம்
அநுபவம்,நுகர்ச்சி
அநுபவம்,அழுந்தியறிதல்
அநுபவித்தல்,துய்த்தல்
அநுபவித்தல்,நுகர்தல்
அநுபவித்தல்,துவ்வல்
அநுபானம்,துணை மருந்து
அநுபானம்,கூட்டு மருந்து
அநுபோகம்,பழக்கம்
அநுபோகம்,வழக்கம்
அநுபோகம்,ஆட்சி
அநுபோகம்,நுகர்ச்சி
அநுபோகம்,துய்ப்பு
அநுமதி,உடன்பாடு
அநுமதி,விடை
அநுமதி,கட்டளை
அநுமதி,ஆணை
அநுமதி,ஒப்புதல்
அநுமானம்,ஐயம்
அநுமானம்,வழியளவை
அநேகம்,பெரும்பான்மை
அநேகம்,பல
அந்தகன்,கூற்றுவன்
அந்தகன்,குருடன்
அந்தஸ்து,நிலைமை
அந்தஸ்து,ஒழுங்கு
அந்தஸ்து,நிலை
அந்தம்,அழகு
அந்தம்,முடிவு
அந்தம்,குருடு
அந்தம்,ஈறு
அந்தம்,கேடு
அந்தம்,எல்லை
அந்தரங்கம்,அருமறை
அந்தரங்கம்,மறைபொருள்
அந்தரங்கம்,உள்ளம்
அந்தரங்கம்,தனிமை
அந்தரம்,வான்
அந்தரம்,வெளி
அந்தரம்,இடைவெளி
அந்தரம்,துணையின்மை
அந்தரம்,காலம்
அந்தரவாணி,வானொலி
அந்நியம்,அயல்
அந்நியம்,வேறு
அந்நியம்,வேற்றுமை
அந்நியம்,பிறிது
அந்நியோந்நியம்,நெருக்கம்
அந்நியோந்நியம்,ஒற்றுமை
அந்நியோந்நியம்,ஒருவர்க்கொருவர்
அபகரித்தல்,கவர்தல்
அபகரித்தல்,கொள்ளையிடல்
அபகரித்தல்,பறித்தல்
அபகரித்தல்,வவ்வல்
அபகாரம்,தீங்கு
அபகாரம்,பொல்லாங்கு
அபகாரம்,நன்றியில் செயல்
அபசயம்,தோல்வி
அபத்தம்,பொய்
அபத்தம்,தவறு
அபயம்,அடைக்கலம்
அபரஞானம்,கருவியறிவு
அபரஞானம்,நூலறிவு
அபராதம்,ஒறுப்புக்கட்டணம்
அபராதம்,குற்றம்
அபராதம்,பிழை
அபவிருத்தி,குறைவு
அபாண்டம்,பெரும்பொய்
அபாண்டம்,பெரும்பழி
அபாண்டம்,இடுபழி
அபாயம்,பேரிடர்
அபாயம்,அழிவு
அபாயம்,கேடு
அபாயம்,துன்பம்
அபாயம்,இடுக்கண்
அபாயகரம்,பேரிடர்
அபாயகரம்,அழிவு
அபாயகரம்,கேடு
அபாயகரம்,துன்பம்
அபாயகரம்,இடுக்கண்
அபானவாயு,மலக்காற்று
அபிடேகம்,திருமுழுக்கு
அபிடேகம்,புதுப்புனலாட்டு
அபிஷேகம்,திருமுழுக்கு
அபிஷேகம்,புதுப்புனலாட்டு
அபிநயம்,உள்ளக்குறிகாட்டல்
அபிநயம்,கைமெய்காட்டல்
அபிநயம்,கூத்து
அபிப்பிராயம்,நோக்கம்
அபிப்பிராயம்,எண்ணம்
அபிப்பிராயம்,உட்கருத்து
அபிப்பிராயம்,உட்கோள்
அபிப்பிராயம்,உள்ளப்போக்கு
அபிப்பிராயம்,கொள்கை
அபிமானம்,பற்று
அபிமானம்,நேயம்
அபிமானம்,செருக்கு
அபிவிருத்தி,பெருக்கம்
அபிவிருத்தி,ஆக்கம்
அபிவிருத்தி,வளர்ச்சி
அபூர்வம்,அருமை
அபூர்வம்,அரிய பொருள்
அபேட்சை,அவா
அபேட்சை,விருப்பம்
அபேதம்,வேற்றுமையின்மை
அபேதம்,வேறன்மை
அப்பியாசம்,பழக்கம்
அப்பியாசம்,பயிற்சி
அப்பிராணி,ஏழை
அப்பிராணி,கரவிலான்
அப்பிராணி,பேதை
அப்பு,புனல்
அமரபக்ஷம்,தேய்பிறை
அமாவாசை,புதுப்பிறை
அமாவாசை,பிறையுவா
அமுது,சோறு
அமுது,அடிசில்
அமுது,இனிமை
அம்சம்,வகை
அம்சம்,அன்னப்புள்
அம்சம்,காலம்
அம்சம்,எண்
அம்சம்,பங்கு
அம்பாரம்,குவியல்
அம்பிகை,அம்மை
அம்பிகை,தாய்
அயச்செந்தூரம்,இரும்புச் செந்தூள்
அயபஸ்பம்,இரும்புவெண்ணீறு
அயோக்கிதை,தகுதியின்மை
அயோக்கிதை,தகாதது
அரம்பை,தெய்வப் பெண்
அரம்பை,அரிவை
அரம்பை,வான்மகள்
ரம்பை,தெய்வப் பெண்
ரம்பை,அரிவை
ரம்பை,வான்மகள்
அரவம்,ஒலி
அரவம்,பாம்பு
அராகம்,விருப்பு
அருணோதயம்,வைகறை
அருணோதயம்,விடியல்
அருணோதயம்,கதிரோன் வருகை
அருத்தம்,பொருள்
அருத்தம்,பாதி
அர்த்தம்,பொருள்
அர்த்தம்,பாதி
அருவம்,உருவின்மை
அருவம்,அழகின்மை
அர்ச்சனை,பூ வழிபாடு
அர்ச்சனை,மலர் தூவழிபாடு
அர்ச்சனை,பூசை
அருச்சனை,பூ வழிபாடு
அருச்சனை,மலர் தூவழிபாடு
அருச்சனை,பூசை
அர்த்தசாமம்,நள்ளிரவு
அர்த்தநாரீசுரன்,மங்கை பங்கன்
அர்த்தநாரீசுரன்,மாதிருக்கும் பாதியன்
அர்ப்பணம்,நீரொடு கொடுத்தல்
அர்ப்பணம்,உரிமைப்படுத்தல்
அர்ப்பணம்,ஒப்புவித்தல்
அலங்காரம்,அழகு
அலங்காரம்,ஒப்பனை
அலங்காரம்,அணி
அலங்காரம்,புனைவு
அலட்சியம்,பொருட்படுத்தாமை
அலட்சியம்,கருத்தின்மை
அலுவா,கோதுமைத் தேம்பாகு
அவகாசம்,ஒழிவு
அவகாசம்,ஓய்வு
அவசரம்,விரைவு
அவசரம்,பரபரப்பு
அவசரம்,சுருக்கு
அவசரம்,பதைப்பு
அவசியம்,முதன்மை
அவசியம்,கட்டாயம்
அவசியம்,இன்றியமையாமை
அவதாரம்,பிறப்பு
அவதாரம்,இறங்குகை
அவதி,துன்பம்
அவத்தை,நிலை
அவத்தை,துன்பம்
அவத்தை,நிலைமை
அவதூறு,பழிச்சொல்
அவமானம்,மானக்கேடு
அவமானம்,புகழின்மை
அவமானம்,இழிவு
அவயவம்,உறுப்பு
அற்பம்,சிறுமை
அற்பம்,அணு
அற்பம்,புன்மை
அற்புதம்,புதுமை
அற்புதம்,வியப்பு
அற்புதம்,அருள் நிகழ்ச்சி
அற்புதம்,அரிய செயல்
அனுபவம்,துய்ப்பு
அனுபோகம்,நுகர்ச்சி
அன்னசத்திரம்,ஊட்டுப்புரை
ஆகாசம்,விண்
ஆகாசம்,வெளி
ஆகாசம்,வான்
ஆகாசம்,விசும்பு
ஆகாசம்,வானம்
ஆகாயவிமானம்,வானவூர்தி
ஆகாரம்,உணவு
ஆகாரம்,அடிசில்
ஆகுலம்,ஆரவாரம்
ஆகுலம்,வருத்தம்
ஆக்ஞேயம்,புருவநடு
ஆசங்கை,ஐயம்
ஆசமனம்,குடித்தல்
ஆங்காரம்,இறுமாப்பு
ஆங்காரம்,செருக்கு
ஆங்காரம்,தருக்கு
ஆசர்,நேர் வருகை
ஆஜர்,நேர் வருகை
ஆசனம்,இருக்கை
ஆசனம்,அணை
ஆசனவாய்,எருவாய்
ஆசனவாய்,மலவாய்
ஆசாபாசம்,அவாக்கட்டு
ஆசாபாசம்,அன்பு
ஆசாபாசம்,உலகப்பற்று
ஆசாமி,ஆள்
ஆசாரம்,ஒழுக்கம்
ஆசாரம்,வழக்கம்
ஆசாரம்,நன்னடை
ஆசாரம்,துப்புரவு
ஆசியம்,எள்ளல்
ஆசியம்,நகை
ஆசியம்,சிரிப்பு
ஆசிரமம்,பள்ளி
ஆசிரமம்,பாழி
ஆசிரமம்,முனிவருறையுள்
ஆசீர்வாதம்,வாழ்த்துரை
ஆசை,விருப்பம்
ஆசை,அவா
ஆசை,பற்று
ஆசை,வேட்கை
ஆசை,விழைவு
ஆச்சரியம்,புதுமை
ஆச்சரியம்,வியப்பு
ஆச்சரியம்,இறும்பூது
ஆஸ்தி,பொருள்
ஆஸ்தி,செல்வம்
ஆஸ்திகன்,கடவுட் கொள்கையன்
ஆஸ்பத்திரி,மருத்துச்சாலை
ஆக்கிராணம்,மூக்கு
ஆக்ஞை,ஆணை
ஆக்ஞை,கட்டளை
ஆடம்பரம்,ஆரவாரம்
ஆட்சேபம்,தடை
ஆட்சேபம்,மறுப்பு
ஆட்சேபம்,எதிர்மொழி
ஆதரவு,துணை
ஆதரவு,உதவி
ஆதரவு,சார்பு
ஆதரவு,பற்றுக்கோடு
ஆதரவு,நிலைக்களன்
ஆதாரம்,பற்றுக்கோடு
ஆதாரம்,நிலைக்களன்
ஆதாரம்,களைகண்
ஆதாரம்,சான்று
ஆதாரம்,அடிப்படை
ஆதி,முதல்
ஆதி,பழமை
ஆதி,அடி
ஆதி,தொடக்கம்
ஆதி,காரணம்
ஆதி,எழுவாய்
ஆதி,கடவுள்
ஆதிக்கம்,உரிமை
ஆதிக்கம்,முதன்மை
ஆதிக்கம்,மேன்மை
ஆதிக்கம்,தலைமை
ஆதிக்கம்,மேலீடு
ஆதியந்தம்,அடிமுதல்
ஆதியோடந்தமாய்,ஒன்றும்விடாமல்
ஆதியோடந்தமாய்,முதலிலிருந்து கடைசிவரை
ஆதிரம்,நெய்
ஆதுலம்,வறுமை
ஆத்திரம்,விரைவு
ஆத்திரம்,பரபரப்பு
ஆத்துமா,உயிர்
ஆன்மா,உயிர்
ஆநந்தம்,இன்பம்
ஆநந்தபரவசம்,இன்பவயம்
ஆந்திரதேசம்,தெலுங்குநாடு
ஆபத்து,இடர்
ஆபத்து,துன்பம்
ஆபத்து,இக்கட்டு
ஆபத்து,ஊறுபாடு
ஆபாசம்,அருவருப்பு
ஆபாசம்,பொய்
ஆபாசம்,சிதைவு
ஆபாசம்,அளவைப்போலி
ஆப்தம்,அன்பு
ஆப்தம்,நட்பு
ஆமோதித்தல்,உடன்படல்
ஆமோதித்தல்,வழிமொழிதல்
ஆமோதித்தல்,மகிழ்தல்
ஆயத்தம்,முயற்சி
ஆயத்தம்,முன்னேற்பாடு
ஆயாஸம்,களைப்பு
ஆயாஸம்,இளைப்பு
ஆயாஸம்,சோர்வு
ஆயாஸம்,அயர்வு
ஆயாஸம்,மயக்கம்
ஆயுசு,வாழ்நாள்
ஆயுசு,ஆண்டு
ஆயுள்,வாழ்நாள்
ஆயுள்,ஆண்டு
ஆயுதம்,கருவி
ஆயுதம்,படைக்கலம்
ஆயுதம்,படை
ஆயுதம்,வாள்
ஆரணியம்,காடு
ஆரம்,பூமாலை
ஆரம்,தொடையல்
ஆரம்பம்,துவக்கம்
ஆரம்பம்,தொடக்கம்
ஆராதனை,வழிபாடு
ஆராதித்தல்,வழிபடுதல்
ஆரியம்,வடமொழி
ஆரியர்,மிலேச்சர்
ஆரூடம்,முன்னறிதல்
ஆரோகம்,ஏற்றுதல்
ஆரோக்கியம்,நலம்
ஆரோக்கியம்,நோயின்மை
ஆலயம்,கோயில்
ஆலிங்கனம்,தழுவல்
ஆலோசனை,சூழ்ச்சி
ஆலோசனை,சூழ்தல்
ஆலோசனை,ஓர்வு
ஆலோசனை,எண்ணம்
ஆலோசனை,ஆராய்ச்சி
ஆவசியம்,கட்டாயம்
ஆவசியம்,முதன்மை
ஆவசியம்,இன்றியமையாமை
ஆவலாதி,புறங்கூற்று
ஆவலாதி,புறந்தூற்றல்
ஆவேசம்,மருள்
ஆவேசம்,தெய்வமேறல்
ஆவேசம்,உட்புகல்
ஆவேசம்,பேய்
இகம்,இவ்வுலகம்
இகம்,இவ்விடம்
இகம்,இப்பிறப்பு
இக்கணம்,இப்போது
இச்சகம்,முகமன்
இச்சை,விருப்பம்
இச்சை,அவா
இச்சை,விழைவு
இச்சை,வேட்கை
இடங்கம்,உளி
இடபம்,எருது
இடபம்,காளை
இடபம்,ஏறு
இடம்பம்,ஆரவாரம்
இடம்பம்,வீண் பெருமை
இட்டம்,அன்பு
இட்டம்,விருப்பம்
இஷ்டம்,அன்பு
இஷ்டம்,விருப்பம்
இஷ்டன்,நண்பன்
இதம்,இனிமை
இதம்,நன்மை
இதம்,அன்பு
இதம்,அறம்
ஹிதம்,இனிமை
ஹிதம்,நன்மை
ஹிதம்,அன்பு
ஹிதம்,அறம்
இதரம்,வேறு
இதரம்,அயல்
இதரம்,அறிவு
இதரம்,பகைமை
இதாதீதம்,நன்மைதீமை
இந்திரியங்கள்,ஐம்பொறிகள்
இமிசை,கடுந்துன்பம்
இமிசை,வருத்தம்
இயந்திரம்,பொறி
இயந்திரம்,மறைமொழித்தகடு
